date,location,positive,negative,neutral,total,perception
2019-11-04,Utah,10,1,7,18,0.75
2019-11-04,Pennsylvania,14,4,5,23,0.7173913043478262
2019-11-04,Alaska,29,9,11,49,0.7040816326530612
2019-11-04,Michigan,12,8,11,31,0.564516129032258
2019-11-04,Delaware,31,14,21,66,0.6287878787878788
2019-11-04,Arizona,36,17,16,69,0.6376811594202898
2019-11-04,South Carolina,5,2,1,8,0.6875
2019-11-04,Kentucky,9,2,10,21,0.6666666666666666
2019-11-04,North Dakota,3,0,0,3,1.0
2019-11-04,Connecticut,5,3,6,14,0.5714285714285714
2019-11-04,Ohio,5,0,5,10,0.75
2019-11-04,Maine,4,2,3,9,0.611111111111111
2019-11-04,Rhode Island,0,1,0,1,0.0
2019-11-04,New Mexico,4,0,2,6,0.8333333333333333
2019-11-04,Tennessee,1,1,1,3,0.5
2019-11-04,Maryland,6,4,4,14,0.5714285714285714
2019-11-04,North Carolina,5,2,5,12,0.625
2019-11-04,Minnesota,9,0,2,11,0.9090909090909092
2019-11-04,Nevada,4,0,1,5,0.9
2019-11-04,New Hampshire,0,1,2,3,0.3333333333333333
2019-11-04,Virginia,6,3,1,10,0.65
2019-11-04,Montana,0,0,1,1,0.5
2019-11-04,Mississippi,1,0,1,2,0.75
2019-11-04,West Virginia,0,0,1,1,0.5
2019-11-04,Vermont,1,0,0,1,1.0
2019-11-03,Arkansas,85,36,66,187,0.6310160427807486
2019-11-03,Texas,44,29,31,104,0.5721153846153846
2019-11-03,California,181,49,72,302,0.7185430463576159
2019-11-03,Massachusetts,35,8,16,59,0.7288135593220338
2019-11-03,New York,13,5,22,40,0.6000000000000001
2019-11-03,Colorado,69,21,37,127,0.6889763779527559
2019-11-03,Iowa,21,9,9,39,0.6538461538461539
2019-11-03,Arizona,17,19,23,59,0.48305084745762716
2019-11-03,Virginia,4,3,0,7,0.5714285714285714
2019-11-03,Indiana,61,27,37,125,0.636
2019-11-03,Alabama,180,61,85,326,0.6825153374233129
2019-11-03,Delaware,18,8,13,39,0.6282051282051282
2019-11-03,Connecticut,5,0,5,10,0.75
2019-11-03,Florida,58,28,33,119,0.6260504201680672
2019-11-03,Hawaii,66,22,27,115,0.691304347826087
2019-11-03,Georgia,41,18,29,88,0.6306818181818181
2019-11-03,Louisiana,38,6,20,64,0.75
2019-11-03,North Carolina,7,3,1,11,0.6818181818181818
2019-11-03,Illinois,30,17,20,67,0.5970149253731343
2019-11-03,Oregon,11,3,13,27,0.6481481481481481
2019-11-03,Maine,2,2,1,5,0.5
2019-11-03,Kansas,5,3,4,12,0.5833333333333334
2019-11-03,Nebraska,59,22,27,108,0.6712962962962963
2019-11-03,Washington,9,5,2,16,0.625
2019-11-03,Pennsylvania,6,5,3,14,0.5357142857142857
2019-11-03,Michigan,8,3,11,22,0.6136363636363636
2019-11-03,Alaska,17,5,10,32,0.6875
2019-11-03,New Jersey,6,4,5,15,0.5666666666666667
2019-11-03,Minnesota,5,1,3,9,0.7222222222222222
2019-11-03,Missouri,13,3,9,25,0.7
2019-11-03,Maryland,4,1,1,6,0.75
2019-11-03,Nevada,3,1,1,5,0.7
2019-11-03,Mississippi,4,0,1,5,0.9
2019-11-03,Rhode Island,1,0,0,1,1.0
2019-11-03,North Dakota,2,0,0,2,1.0
2019-11-03,Idaho,7,2,6,15,0.6666666666666667
2019-11-03,New Mexico,3,2,0,5,0.6
2019-11-03,Kentucky,11,1,4,16,0.8125
2019-11-03,Wisconsin,4,0,1,5,0.9
2019-11-03,Utah,2,0,2,4,0.75
2019-11-03,Oklahoma,2,1,0,3,0.6666666666666666
2019-11-03,South Carolina,1,1,0,2,0.5
2019-11-03,Ohio,2,0,2,4,0.75
2019-11-03,West Virginia,0,0,1,1,0.5
2019-11-03,Montana,1,1,0,2,0.5
2019-11-03,Tennessee,1,0,0,1,1.0
2019-11-02,Massachusetts,5,3,2,10,0.6
2019-11-02,Hawaii,2,5,6,13,0.38461538461538464
2019-11-02,Florida,5,7,5,17,0.4411764705882353
2019-11-02,New Jersey,1,1,1,3,0.5
2019-11-02,Alabama,12,13,4,29,0.48275862068965514
2019-11-02,New York,3,3,1,7,0.5
2019-11-02,Louisiana,5,3,6,14,0.5714285714285714
2019-11-02,Delaware,4,4,9,17,0.5
2019-11-02,Arkansas,17,14,13,44,0.5340909090909091
2019-11-02,Iowa,6,1,1,8,0.8125
2019-11-02,Alaska,6,0,7,13,0.7307692307692308
2019-11-02,California,23,11,20,54,0.6111111111111112
2019-11-02,Idaho,1,3,3,7,0.3571428571428571
2019-11-02,Connecticut,5,2,0,7,0.7142857142857143
